iter	Passed	Remaining
1547	138301	308407
1548	138394	308326
1549	138476	308222
1550	138564	308129
1551	138641	308013
1552	138729	307920
1553	138818	307830
1554	138903	307731
1555	138993	307643
1556	139074	307536
1557	139152	307420
1558	139250	307350
1559	139351	307287
1560	139435	307187
1561	139524	307097
1562	139607	306994
1563	139694	306898
1564	139789	306823
1565	139885	306748
1566	139973	306655
1567	140060	306561
1568	140155	306483
1569	140235	306373
1570	140330	306296
1571	140403	306171
1572	140483	306061
1573	140571	305970
1574	140660	305880
1575	140740	305770
1576	140819	305658
1577	140895	305541
1578	140979	305441
1579	141068	305350
1580	141143	305230
1581	141230	305137
1582	141323	305055
1583	141409	304958
1584	141488	304848
1585	141581	304766
1586	141661	304656
1587	141749	304564
1588	141839	304476
1589	141920	304370
1590	141997	304255
1591	142085	304163
1592	142178	304080
1593	142266	303989
1594	142353	303895
1595	142442	303805
1596	142531	303716
1597	142627	303640
1598	142715	303549
1599	142805	303460
1600	142890	303364
1601	142972	303259
1602	143066	303178
1603	143146	303069
1604	143220	302949
1605	143326	302895
1606	143417	302810
1607	143501	302710
1608	143592	302624
1609	143692	302557
1610	143790	302486
1611	143905	302451
1612	143999	302371
1613	144103	302314
1614	144194	302228
1615	144269	302108
1616	144351	302004
1617	144441	301915
1618	144538	301844
1619	144624	301747
1620	144812	301863
1621	144895	301762
1622	144996	301696
1623	145092	301621
1624	145181	301530
1625	145281	301464
1626	145363	301359
1627	145465	301294
1628	145558	301214
1629	145644	301117
1630	145740	301041
1631	145842	300978
1632	145949	300926
1633	146054	300869
1634	146160	300814
1635	146315	300857
1636	146510	300987
1637	146635	300969
1638	146788	301010
1639	146894	300954
1640	146999	300896
1641	147103	300837
1642	147186	300733
1643	147279	300650
1644	147408	300640
1645	147488	300532
1646	147577	300442
1647	147653	300324
1648	147756	300262
1649	147848	300177
1650	147945	300102
1651	148059	300062
1652	148182	300040
1653	148325	300057
1654	148466	300073
1655	148595	300061
1656	148700	300004
1657	148792	299918
1658	148923	299912
1659	149026	299847
1660	149131	299790
1661	149227	299711
